meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.153,0.067,0.16,0.092,0.189,0.097,3.519,19.217,0.893,0.409,0.09,0.153,0.092,0.047,0.185,0.314,0.093,0.801,0.708,0.549,male
0.158,0.061,0.176,0.097,0.198,0.101,3.463,17.916,0.899,0.421,0.095,0.158,0.098,0.024,0.25,0.421,0.005,0.806,0.801,0.556,male
0.155,0.067,0.164,0.089,0.197,0.108,3.192,16.203,0.898,0.412,0.087,0.155,0.079,0.011,0.114,0.337,0.005,0.757,0.752,0.521,male
0.154,0.062,0.164,0.097,0.199,0.102,3.451,16.782,0.892,0.423,0.1,0.154,0.096,0.049,0.154,0.389,0.098,0.806,0.708,0.612,male
0.154,0.061,0.16,0.099,0.2,0.101,2.706,11.407,0.9,0.408,0.1,0.154,0.096,0.028,0.208,0.432,0.098,0.825,0.728,0.843,male
0.158,0.062,0.177,0.096,0.197,0.1,3.565,17.989,0.893,0.425,0.096,0.158,0.095,0.025,0.2,0.348,0.098,0.781,0.684,0.459,male
0.162,0.062,0.181,0.103,0.216,0.113,2.003,6.801,0.904,0.395,0.092,0.162,0.094,0.014,0.112,0.368,0.088,0.757,0.669,0.525,male
0.156,0.063,0.172,0.096,0.195,0.099,3.563,18.188,0.883,0.391,0.094,0.156,0.095,0.04,0.179,0.364,0.005,0.85,0.845,0.391,male
0.162,0.062,0.175,0.104,0.215,0.111,2.285,8.904,0.91,0.421,0.106,0.162,0.095,0.051,0.125,0.27,0.093,0.845,0.752,0.429,male
0.153,0.062,0.157,0.095,0.192,0.097,3.618,18.602,0.89,0.412,0.094,0.153,0.091,0.037,0.139,0.463,0.093,0.942,0.85,0.565,male
0.154,0.059,0.158,0.099,0.201,0.102,3.548,18.183,0.892,0.427,0.102,0.154,0.098,0.046,0.105,0.525,0.098,1.04,0.942,0.728,male
0.157,0.058,0.159,0.104,0.206,0.102,4.022,24.698,0.881,0.396,0.104,0.157,0.104,0.049,0.182,0.577,0.103,0.928,0.825,0.526,male
0.154,0.063,0.156,0.098,0.2,0.102,2.967,13.683,0.896,0.41,0.091,0.154,0.096,0.021,0.139,0.422,0.098,1.089,0.991,0.471,male
0.15,0.061,0.159,0.096,0.197,0.102,2.535,10.296,0.91,0.448,0.095,0.15,0.1,0.054,0.27,0.404,0.088,0.786,0.698,0.654,male
0.15,0.059,0.135,0.1,0.203,0.103,2.612,11.245,0.906,0.439,0.094,0.15,0.101,0.017,0.213,0.558,0.098,0.767,0.669,0.46,male
0.149,0.06,0.131,0.098,0.197,0.099,3.292,16.818,0.889,0.397,0.098,0.149,0.102,0.091,0.217,0.404,0.103,0.806,0.703,0.718,male
0.152,0.063,0.132,0.1,0.207,0.107,2.723,11.122,0.904,0.435,0.094,0.152,0.092,0.021,0.111,0.465,0.078,0.864,0.786,0.88,male
0.152,0.058,0.151,0.098,0.196,0.098,3.523,18.653,0.893,0.408,0.095,0.152,0.095,0.056,0.213,0.519,0.088,0.776,0.688,0.651,male
0.158,0.058,0.166,0.103,0.204,0.101,3.106,15.621,0.909,0.448,0.1,0.158,0.104,0.035,0.278,0.658,0.049,3.755,3.706,0.203,male
0.151,0.058,0.144,0.1,0.199,0.099,3.132,14.487,0.898,0.42,0.1,0.151,0.103,0.036,0.256,0.562,0.093,2.188,2.095,0.283,male
0.155,0.063,0.152,0.101,0.209,0.107,3.299,17.424,0.905,0.444,0.105,0.155,0.097,0.047,0.115,0.439,0.093,0.835,0.742,0.686,male
0.157,0.064,0.172,0.095,0.195,0.1,3.466,18.918,0.906,0.452,0.093,0.157,0.107,0.085,0.27,0.69,0.005,3.965,3.96,0.181,male
0.156,0.059,0.163,0.101,0.203,0.102,3.354,17.387,0.896,0.413,0.094,0.156,0.1,0.012,0.244,0.434,0.098,0.776,0.679,0.932,male
0.152,0.061,0.147,0.097,0.196,0.099,3.414,17.25,0.893,0.423,0.096,0.152,0.102,0.085,0.278,0.521,0.103,0.796,0.693,0.686,male
0.153,0.063,0.15,0.099,0.202,0.104,3.494,17.559,0.893,0.423,0.091,0.153,0.104,0.046,0.278,0.472,0.098,0.811,0.713,0.724,male
0.151,0.062,0.15,0.095,0.193,0.098,3.887,23.211,0.892,0.411,0.094,0.151,0.1,0.088,0.222,0.45,0.088,0.781,0.693,0.633,male
0.151,0.057,0.14,0.102,0.203,0.101,2.907,12.196,0.895,0.417,0.106,0.151,0.112,0.075,0.25,0.593,0.103,0.845,0.742,0.315,male
0.148,0.062,0.131,0.096,0.191,0.096,3.263,17.01,0.91,0.467,0.094,0.148,0.09,0.022,0.159,0.323,0.098,0.801,0.703,0.516,male
0.148,0.058,0.138,0.099,0.198,0.099,3.946,21.665,0.88,0.407,0.099,0.148,0.1,0.092,0.141,0.422,0.098,0.806,0.708,0.833,male
0.159,0.065,0.176,0.095,0.196,0.102,3.23,15.631,0.896,0.406,0.093,0.159,0.094,0.021,0.185,0.415,0.005,0.776,0.771,0.583,male
0.156,0.06,0.161,0.101,0.207,0.106,2.459,9.94,0.905,0.429,0.103,0.156,0.101,0.041,0.227,0.374,0.103,0.84,0.737,0.469,male
0.151,0.063,0.139,0.094,0.193,0.098,3.535,19.468,0.892,0.395,0.094,0.151,0.094,0.048,0.139,0.334,0.093,0.84,0.747,0.506,male
0.149,0.061,0.136,0.095,0.193,0.098,3.291,16.615,0.898,0.423,0.093,0.149,0.092,0.039,0.139,0.294,0.093,0.815,0.723,0.51,male
0.168,0.057,0.178,0.111,0.207,0.097,1.288,4.318,0.925,0.427,0.102,0.168,0.107,0.027,0.25,0.299,0.008,2.313,2.305,0.134,male
0.164,0.059,0.165,0.113,0.216,0.103,0.844,2.87,0.934,0.485,0.17,0.164,0.11,0.016,0.276,0.934,0.008,3.352,3.344,0.28,male
0.178,0.061,0.187,0.123,0.232,0.109,0.705,2.969,0.943,0.476,0.098,0.178,0.102,0.027,0.254,0.569,0.102,4.141,4.039,0.195,male
0.159,0.065,0.17,0.104,0.209,0.105,1.847,6.886,0.951,0.679,0.196,0.159,0.102,0.018,0.258,0.404,0.086,3.727,3.641,0.116,male
0.168,0.061,0.175,0.111,0.22,0.109,1.303,4.932,0.936,0.497,0.178,0.168,0.093,0.021,0.232,0.905,0.008,6.508,6.5,0.245,male
0.16,0.062,0.168,0.1,0.203,0.103,1.629,5.853,0.94,0.563,0.094,0.16,0.095,0.024,0.246,0.734,0.078,6.852,6.773,0.173,male
0.167,0.058,0.182,0.107,0.212,0.104,1.932,7.349,0.914,0.422,0.093,0.167,0.095,0.016,0.239,0.611,0.086,3.914,3.828,0.209,male
0.158,0.072,0.148,0.109,0.226,0.117,1.516,5.444,0.958,0.737,0.114,0.158,0.095,0.027,0.142,0.526,0.047,4.289,4.242,0.213,male
0.164,0.062,0.172,0.108,0.215,0.108,1.427,5.244,0.944,0.567,0.176,0.164,0.095,0.017,0.229,0.583,0.008,5.461,5.453,0.178,male
0.162,0.06,0.168,0.11,0.208,0.098,1.123,4.108,0.949,0.608,0.096,0.162,0.096,0.017,0.211,0.987,0.078,6.867,6.789,0.227,male
0.161,0.06,0.168,0.1,0.198,0.098,1.616,5.228,0.927,0.473,0.093,0.161,0.093,0.023,0.18,0.309,0.031,3.328,3.297,0.11,male
0.17,0.06,0.182,0.109,0.219,0.109,1.803,5.897,0.909,0.438,0.109,0.17,0.095,0.019,0.262,0.573,0.094,3.617,3.523,0.091,male
0.169,0.061,0.182,0.108,0.215,0.107,1.247,4.069,0.937,0.529,0.194,0.169,0.102,0.018,0.219,0.525,0.094,3.547,3.453,0.207,male
0.175,0.06,0.188,0.115,0.223,0.108,0.813,2.74,0.937,0.477,0.094,0.175,0.095,0.035,0.222,0.651,0.047,3.703,3.656,0.288,male
0.169,0.059,0.178,0.115,0.214,0.1,1.841,8.346,0.934,0.457,0.091,0.169,0.102,0.019,0.184,0.379,0.008,3.617,3.609,0.14,male
0.159,0.059,0.168,0.101,0.199,0.098,1.641,6.282,0.936,0.537,0.097,0.159,0.108,0.016,0.276,1.012,0.008,3.664,3.656,0.406,male
0.166,0.059,0.176,0.111,0.21,0.099,1.301,5.032,0.941,0.53,0.198,0.166,0.091,0.016,0.172,1.148,0.094,6.906,6.813,0.213,male
0.157,0.062,0.172,0.099,0.201,0.101,1.716,5.886,0.933,0.608,0.098,0.157,0.088,0.019,0.131,0.178,0.094,0.281,0.188,0.274,male
0.165,0.059,0.173,0.108,0.209,0.101,1.32,4.829,0.936,0.509,0.1,0.165,0.107,0.017,0.246,0.701,0.008,6.539,6.531,0.172,male
0.17,0.058,0.189,0.107,0.21,0.103,2.486,11.331,0.907,0.416,0.207,0.17,0.096,0.016,0.213,0.174,0.094,0.563,0.469,0.133,male
0.166,0.058,0.177,0.109,0.213,0.104,1.35,4.575,0.935,0.509,0.213,0.166,0.097,0.017,0.262,0.47,0.008,3.609,3.602,0.188,male
0.17,0.057,0.186,0.11,0.209,0.099,2.649,13.083,0.917,0.439,0.194,0.17,0.09,0.02,0.2,0.339,0.102,2.563,2.461,0.148,male
0.166,0.057,0.174,0.111,0.212,0.101,1.144,4.187,0.94,0.481,0.096,0.166,0.096,0.016,0.216,0.614,0.008,3.688,3.68,0.224,male
0.159,0.061,0.171,0.101,0.202,0.101,1.539,5.204,0.939,0.585,0.098,0.159,0.094,0.018,0.276,0.392,0.055,3.703,3.648,0.137,male
0.163,0.059,0.176,0.105,0.206,0.101,1.77,6.706,0.939,0.54,0.096,0.163,0.1,0.025,0.267,0.798,0.031,6.141,6.109,0.209,male
0.164,0.061,0.171,0.105,0.209,0.103,1.283,5.044,0.941,0.529,0.089,0.164,0.091,0.018,0.242,0.897,0.008,6.641,6.633,0.212,male
0.166,0.057,0.179,0.107,0.208,0.101,1.663,5.964,0.925,0.434,0.18,0.166,0.098,0.016,0.267,0.552,0.008,3.742,3.734,0.207,male
0.165,0.058,0.175,0.11,0.207,0.097,1.3,4.753,0.938,0.476,0.091,0.165,0.094,0.018,0.235,0.708,0.094,6.523,6.43,0.101,male
0.169,0.058,0.174,0.113,0.214,0.102,1.129,4.281,0.943,0.485,0.171,0.169,0.096,0.016,0.246,1.09,0.086,6.813,6.727,0.207,male
0.166,0.06,0.175,0.106,0.208,0.102,1.807,6.947,0.93,0.526,0.186,0.166,0.088,0.027,0.219,0.543,0.07,4.32,4.25,0.086,male
0.166,0.06,0.168,0.113,0.213,0.1,0.968,4.119,0.948,0.536,0.208,0.166,0.111,0.029,0.246,0.897,0.008,5.719,5.711,0.191,male
0.158,0.063,0.166,0.103,0.209,0.106,1.24,4.108,0.953,0.663,0.092,0.158,0.102,0.016,0.25,0.454,0.008,3.695,3.688,0.169,male
0.172,0.061,0.178,0.115,0.223,0.109,0.832,3.405,0.945,0.506,0.11,0.172,0.096,0.018,0.213,0.593,0.094,3.758,3.664,0.231,male
0.167,0.06,0.174,0.112,0.217,0.105,1.252,4.784,0.941,0.497,0.184,0.167,0.094,0.027,0.155,0.605,0.094,6.297,6.203,0.151,male
0.164,0.06,0.164,0.114,0.211,0.097,1.038,4.075,0.947,0.556,0.09,0.164,0.105,0.017,0.267,0.451,0.008,3.891,3.883,0.131,male
0.166,0.059,0.175,0.109,0.212,0.104,1.485,5.382,0.938,0.534,0.103,0.166,0.107,0.017,0.25,0.696,0.008,3.539,3.531,0.211,male
0.17,0.058,0.183,0.11,0.214,0.105,1.413,4.653,0.926,0.416,0.096,0.17,0.096,0.019,0.176,0.623,0.008,3.797,3.789,0.199,male
0.172,0.058,0.179,0.116,0.218,0.102,2.075,9.855,0.93,0.477,0.213,0.172,0.096,0.036,0.225,0.69,0.102,3.672,3.57,0.174,male
0.154,0.068,0.171,0.101,0.21,0.109,1.971,6.66,0.947,0.679,0.209,0.154,0.107,0.022,0.276,0.729,0.039,6.727,6.688,0.178,male
0.176,0.058,0.188,0.117,0.225,0.109,1.222,3.776,0.922,0.392,0.188,0.176,0.098,0.019,0.239,0.42,0.094,2.484,2.391,0.1,male
0.165,0.06,0.178,0.106,0.211,0.106,1.578,5.394,0.934,0.511,0.211,0.165,0.097,0.019,0.254,0.696,0.094,4.922,4.828,0.237,male
0.166,0.057,0.177,0.109,0.208,0.099,1.53,5.849,0.932,0.444,0.187,0.166,0.095,0.016,0.262,0.481,0.008,3.766,3.758,0.179,male
0.162,0.058,0.174,0.1,0.197,0.096,2.127,7.815,0.922,0.427,0.195,0.162,0.096,0.017,0.235,0.406,0.047,3.484,3.438,0.155,male
0.167,0.058,0.177,0.111,0.211,0.1,1.087,4.16,0.938,0.465,0.186,0.167,0.103,0.018,0.25,0.657,0.008,6.688,6.68,0.159,male
0.167,0.057,0.187,0.107,0.207,0.101,2.312,9.115,0.908,0.42,0.201,0.167,0.1,0.017,0.276,0.353,0.008,2.367,2.359,0.17,male
0.167,0.059,0.179,0.103,0.203,0.1,2.466,10.284,0.907,0.38,0.194,0.167,0.099,0.024,0.267,0.521,0.094,3.578,3.484,0.141,male
0.168,0.06,0.169,0.112,0.215,0.103,1.089,4.55,0.938,0.464,0.195,0.168,0.103,0.019,0.232,0.54,0.094,3.703,3.609,0.222,male
0.171,0.058,0.186,0.111,0.218,0.107,1.52,5.417,0.926,0.442,0.218,0.171,0.09,0.016,0.246,0.921,0.094,6.484,6.391,0.211,male
0.166,0.058,0.182,0.107,0.207,0.099,2.218,9.604,0.929,0.472,0.192,0.166,0.098,0.018,0.225,0.841,0.102,6.586,6.484,0.171,male
0.163,0.059,0.174,0.103,0.206,0.103,1.55,5.281,0.93,0.482,0.194,0.163,0.109,0.02,0.246,0.656,0.094,4.906,4.813,0.211,male
0.167,0.059,0.175,0.112,0.218,0.106,1.509,5.611,0.935,0.493,0.232,0.167,0.112,0.016,0.254,0.602,0.047,6.852,6.805,0.134,male
0.161,0.066,0.181,0.106,0.217,0.111,1.87,6.408,0.939,0.649,0.211,0.161,0.104,0.077,0.172,0.794,0.055,3.945,3.891,0.226,male
0.169,0.059,0.175,0.113,0.217,0.104,1.112,4.057,0.939,0.464,0.17,0.169,0.098,0.021,0.271,0.741,0.086,3.914,3.828,0.254,male
0.17,0.062,0.182,0.11,0.219,0.109,1.443,5.258,0.939,0.574,0.215,0.17,0.107,0.017,0.254,0.444,0.094,3.477,3.383,0.163,male
0.176,0.06,0.191,0.118,0.228,0.11,1.495,5.147,0.925,0.466,0.225,0.176,0.107,0.016,0.229,0.349,0.094,3.531,3.438,0.129,male
0.172,0.059,0.179,0.112,0.214,0.102,1.474,5.318,0.92,0.361,0.21,0.172,0.091,0.016,0.162,0.348,0.086,2.883,2.797,0.074,male
0.171,0.058,0.183,0.116,0.213,0.097,1.388,4.798,0.924,0.407,0.102,0.171,0.109,0.018,0.186,0.591,0.094,3.68,3.586,0.233,male
0.165,0.058,0.179,0.103,0.205,0.102,1.748,6.579,0.926,0.413,0.18,0.165,0.093,0.017,0.167,0.301,0.039,3.648,3.609,0.081,male
0.168,0.056,0.177,0.11,0.207,0.098,1.363,4.67,0.922,0.379,0.194,0.168,0.105,0.039,0.276,0.687,0.109,5.961,5.852,0.126,male
0.169,0.067,0.18,0.11,0.227,0.117,1.154,3.787,0.944,0.611,0.101,0.169,0.091,0.017,0.219,0.76,0.094,3.969,3.875,0.293,male
0.166,0.056,0.182,0.105,0.207,0.102,2.092,8.017,0.915,0.408,0.206,0.166,0.099,0.016,0.25,0.867,0.008,7,6.992,0.214,male
0.165,0.058,0.182,0.104,0.199,0.095,2.459,10.324,0.91,0.462,0.185,0.165,0.103,0.046,0.239,1.125,0.086,5.43,5.344,0.335,male
0.172,0.061,0.18,0.118,0.223,0.105,0.738,2.876,0.944,0.504,0.097,0.172,0.106,0.022,0.276,0.739,0.094,3.672,3.578,0.273,male
0.167,0.058,0.184,0.109,0.213,0.104,2.718,12.07,0.908,0.497,0.106,0.167,0.108,0.018,0.246,0.169,0.109,0.227,0.117,0.539,male
0.159,0.06,0.17,0.103,0.203,0.1,1.566,5.437,0.943,0.577,0.186,0.159,0.098,0.018,0.267,0.888,0.016,3.766,3.75,0.264,male
0.168,0.058,0.183,0.111,0.217,0.106,1.617,5.635,0.927,0.447,0.185,0.168,0.1,0.018,0.267,0.479,0.102,3.93,3.828,0.074,male
0.173,0.058,0.19,0.117,0.219,0.102,1.555,5.511,0.921,0.434,0.211,0.173,0.108,0.02,0.205,0.817,0.109,4.242,4.133,0.281,male
0.165,0.058,0.171,0.111,0.209,0.098,0.993,3.556,0.942,0.516,0.101,0.165,0.098,0.016,0.242,0.434,0.047,3.508,3.461,0.172,male
0.17,0.059,0.179,0.114,0.214,0.101,1.519,6.021,0.935,0.465,0.094,0.17,0.094,0.02,0.145,0.912,0.008,6.93,6.922,0.196,male
0.165,0.059,0.176,0.103,0.203,0.1,1.492,4.997,0.925,0.469,0.094,0.165,0.091,0.016,0.19,0.287,0.07,2.641,2.57,0.124,male
0.162,0.06,0.173,0.108,0.209,0.101,1.835,7.896,0.938,0.559,0.089,0.162,0.101,0.017,0.258,1.001,0.023,7,6.977,0.174,male
0.15,0.068,0.162,0.094,0.207,0.113,1.726,6.328,0.956,0.721,0.089,0.15,0.108,0.024,0.271,0.621,0.008,3.719,3.711,0.156,male
0.168,0.061,0.173,0.112,0.221,0.108,1.282,4.268,0.94,0.559,0.205,0.168,0.108,0.016,0.267,0.554,0.031,3.648,3.617,0.163,male
0.158,0.06,0.167,0.094,0.191,0.096,3.288,16.613,0.902,0.454,0.084,0.158,0.084,0.017,0.222,0.523,0.102,2.492,2.391,0.235,male
0.175,0.064,0.183,0.116,0.23,0.113,1.478,4.896,0.931,0.541,0.116,0.175,0.096,0.016,0.193,0.312,0.094,2.469,2.375,0.139,male
0.175,0.058,0.193,0.117,0.222,0.105,1.621,5.551,0.921,0.45,0.214,0.175,0.11,0.027,0.267,0.935,0.102,6.313,6.211,0.244,male
0.174,0.06,0.192,0.115,0.221,0.106,1.392,4.699,0.931,0.487,0.195,0.174,0.106,0.018,0.276,0.625,0.023,3.672,3.648,0.207,male
0.162,0.064,0.171,0.11,0.217,0.107,1.596,5.703,0.947,0.632,0.094,0.162,0.096,0.023,0.211,0.545,0.039,3.789,3.75,0.215,male
0.161,0.058,0.17,0.099,0.195,0.095,2.173,8.419,0.919,0.465,0.095,0.161,0.093,0.018,0.267,0.509,0.086,3.891,3.805,0.129,male
0.167,0.058,0.182,0.108,0.212,0.105,2.292,9.489,0.906,0.405,0.105,0.167,0.094,0.031,0.195,0.589,0.102,3.813,3.711,0.26,male
0.162,0.059,0.173,0.106,0.201,0.096,2.082,8.338,0.927,0.497,0.18,0.162,0.086,0.018,0.168,0.586,0.094,3.719,3.625,0.21,male
0.173,0.059,0.183,0.12,0.228,0.108,1.281,4.27,0.926,0.443,0.121,0.173,0.095,0.016,0.163,0.597,0.008,3.469,3.461,0.287,male
0.164,0.058,0.178,0.104,0.204,0.099,1.631,5.189,0.917,0.438,0.186,0.164,0.103,0.016,0.276,1.105,0.102,3.742,3.641,0.361,male
0.168,0.06,0.176,0.114,0.22,0.105,1.167,3.952,0.939,0.541,0.202,0.168,0.11,0.018,0.276,0.347,0.008,2.211,2.203,0.211,male
0.18,0.054,0.189,0.142,0.213,0.072,1.473,4.9,0.918,0.395,0.187,0.18,0.132,0.047,0.279,0.969,0.023,4.148,4.125,0.128,male
0.191,0.061,0.192,0.15,0.242,0.092,1.624,6.282,0.923,0.424,0.276,0.191,0.131,0.051,0.279,0.683,0.023,2.602,2.578,0.128,male
0.176,0.059,0.185,0.128,0.211,0.083,1.75,6.874,0.922,0.453,0.195,0.176,0.136,0.048,0.277,0.702,0.023,5.906,5.883,0.099,male
0.183,0.06,0.184,0.13,0.238,0.107,1.002,4.071,0.933,0.401,0.181,0.183,0.116,0.047,0.276,0.705,0.023,3.75,3.727,0.13,male
0.173,0.064,0.182,0.111,0.217,0.106,1.54,5.533,0.933,0.567,0.18,0.173,0.105,0.048,0.271,0.881,0.023,6.633,6.609,0.146,male
0.176,0.055,0.184,0.136,0.212,0.076,1.704,6.539,0.914,0.422,0.182,0.176,0.111,0.047,0.273,1.034,0.023,7.617,7.594,0.106,male
0.174,0.062,0.194,0.109,0.211,0.102,2.179,7.599,0.912,0.509,0.208,0.174,0.144,0.049,0.279,1.122,0.023,4.734,4.711,0.187,male
0.169,0.065,0.188,0.118,0.215,0.096,2.141,9.898,0.949,0.636,0.193,0.169,0.124,0.047,0.279,0.627,0.023,2.367,2.344,0.124,male
0.185,0.056,0.196,0.125,0.226,0.101,1.781,5.804,0.901,0.39,0.223,0.185,0.137,0.047,0.277,0.789,0.023,4.945,4.922,0.127,male
0.181,0.055,0.195,0.133,0.217,0.084,1.879,7.809,0.916,0.377,0.204,0.181,0.121,0.048,0.279,1.37,0.023,8.227,8.203,0.152,male
0.184,0.057,0.192,0.128,0.23,0.102,1.432,6.033,0.921,0.342,0.19,0.184,0.109,0.047,0.264,0.948,0.023,7.383,7.359,0.103,male
0.178,0.055,0.194,0.132,0.212,0.08,2.572,12.233,0.911,0.433,0.198,0.178,0.126,0.047,0.279,1.067,0.023,6.797,6.773,0.116,male
0.184,0.064,0.194,0.124,0.244,0.12,1.546,4.979,0.923,0.49,0.194,0.184,0.123,0.047,0.277,0.889,0.023,3.703,3.68,0.162,male
0.19,0.061,0.195,0.133,0.244,0.11,0.808,2.964,0.931,0.436,0.182,0.19,0.13,0.047,0.273,1.017,0.023,6.844,6.82,0.091,male
0.179,0.056,0.189,0.125,0.216,0.091,1.246,4.609,0.926,0.425,0.198,0.179,0.114,0.047,0.277,0.684,0.023,8.016,7.992,0.049,male
0.186,0.061,0.193,0.138,0.235,0.097,0.802,3.099,0.939,0.508,0.207,0.186,0.135,0.048,0.276,0.927,0.023,6.188,6.164,0.16,male
0.181,0.057,0.191,0.145,0.213,0.068,1.716,5.877,0.913,0.43,0.205,0.181,0.122,0.047,0.277,0.491,0.023,3.609,3.586,0.076,male
0.181,0.059,0.185,0.131,0.227,0.096,1.01,3.843,0.939,0.507,0.183,0.181,0.124,0.047,0.276,1.319,0.023,8.016,7.992,0.172,male
0.184,0.057,0.199,0.142,0.219,0.078,2.013,7.925,0.912,0.392,0.209,0.184,0.123,0.048,0.27,1.342,0.023,5.414,5.391,0.164,male
0.193,0.058,0.207,0.149,0.235,0.086,1.313,4.417,0.922,0.444,0.23,0.193,0.119,0.047,0.279,0.733,0.023,7.289,7.266,0.072,male
0.172,0.057,0.187,0.11,0.205,0.095,2.135,7.705,0.891,0.378,0.202,0.172,0.11,0.047,0.274,0.797,0.023,4.617,4.594,0.075,male
0.174,0.057,0.181,0.122,0.209,0.087,1.716,6.371,0.919,0.448,0.177,0.174,0.119,0.048,0.276,1.343,0.023,8.672,8.648,0.125,male
0.173,0.065,0.179,0.111,0.224,0.114,1.545,5.052,0.921,0.475,0.09,0.173,0.128,0.047,0.279,1.112,0.023,5.18,5.156,0.149,male
0.171,0.062,0.175,0.117,0.216,0.099,1.139,4.267,0.941,0.535,0.196,0.171,0.123,0.051,0.276,1.144,0.023,7.758,7.734,0.09,male
0.189,0.06,0.192,0.15,0.238,0.089,1.365,4.488,0.918,0.405,0.18,0.189,0.112,0.047,0.27,0.665,0.023,6.398,6.375,0.034,male
0.17,0.065,0.192,0.107,0.216,0.109,1.91,6.923,0.934,0.6,0.195,0.17,0.121,0.047,0.279,0.96,0.023,7.5,7.477,0.055,male
0.181,0.063,0.198,0.122,0.232,0.111,0.975,3.187,0.937,0.553,0.195,0.181,0.125,0.047,0.279,1.566,0.023,7.031,7.008,0.149,male
0.179,0.058,0.189,0.13,0.212,0.082,1.868,6.999,0.909,0.407,0.192,0.179,0.116,0.047,0.276,0.458,0.023,2.203,2.18,0.108,male
0.174,0.058,0.191,0.116,0.218,0.102,1.933,8.104,0.918,0.368,0.199,0.174,0.117,0.048,0.279,0.795,0.023,5.344,5.32,0.079,male
0.178,0.066,0.182,0.115,0.229,0.114,1.596,5.321,0.92,0.511,0.182,0.178,0.114,0.048,0.271,0.674,0.023,3.492,3.469,0.155,male
0.182,0.058,0.194,0.127,0.211,0.084,1.983,6.423,0.877,0.326,0.205,0.182,0.112,0.047,0.271,1.093,0.023,7.289,7.266,0.099,male
0.176,0.06,0.193,0.118,0.223,0.105,1.327,4.647,0.925,0.454,0.199,0.176,0.125,0.047,0.249,0.424,0.023,1.922,1.898,0.082,male
0.179,0.058,0.189,0.138,0.206,0.068,2.532,11.531,0.904,0.396,0.2,0.179,0.134,0.049,0.277,1.198,0.023,7.617,7.594,0.202,male
0.172,0.065,0.187,0.105,0.21,0.104,1.801,5.725,0.92,0.53,0.095,0.172,0.122,0.047,0.276,1.348,0.023,6.984,6.961,0.133,male
0.165,0.072,0.179,0.099,0.21,0.112,3.173,18.184,0.935,0.643,0.188,0.165,0.127,0.047,0.276,0.562,0.094,3.328,3.234,0.095,male
0.175,0.055,0.184,0.119,0.207,0.088,2.04,7.881,0.906,0.352,0.201,0.175,0.112,0.047,0.277,1.006,0.023,7.031,7.008,0.087,male
0.168,0.066,0.179,0.11,0.213,0.103,1.637,6.352,0.95,0.667,0.193,0.168,0.132,0.051,0.279,1.038,0.023,7.008,6.984,0.132,male
0.171,0.061,0.19,0.109,0.209,0.1,2.049,7.024,0.91,0.501,0.195,0.171,0.118,0.047,0.279,0.791,0.023,4.336,4.313,0.082,male
0.179,0.061,0.183,0.131,0.22,0.089,1.368,4.746,0.93,0.503,0.278,0.179,0.113,0.048,0.277,0.742,0.023,7.5,7.477,0.071,male
0.178,0.06,0.186,0.111,0.219,0.109,1.556,5.013,0.893,0.351,0.168,0.178,0.117,0.049,0.274,0.64,0.023,4.477,4.453,0.137,male
0.18,0.057,0.189,0.122,0.224,0.102,0.852,2.699,0.923,0.371,0.219,0.18,0.119,0.047,0.277,0.982,0.117,6.258,6.141,0.093,male
0.174,0.06,0.18,0.118,0.219,0.101,1.088,4.397,0.938,0.535,0.175,0.174,0.119,0.051,0.279,1.028,0.023,3.797,3.773,0.178,male
0.174,0.057,0.185,0.115,0.214,0.099,1.292,4.09,0.914,0.416,0.191,0.174,0.121,0.048,0.277,0.829,0.023,5.625,5.602,0.107,male
0.178,0.054,0.19,0.117,0.219,0.102,1.913,6.835,0.892,0.297,0.19,0.178,0.114,0.047,0.277,1.104,0.023,5.672,5.648,0.111,male
0.166,0.069,0.182,0.097,0.203,0.106,3.466,17.819,0.907,0.528,0.188,0.166,0.114,0.047,0.279,0.578,0.023,2.25,2.227,0.119,male
0.179,0.059,0.187,0.12,0.23,0.11,1.094,3.675,0.926,0.433,0.236,0.179,0.118,0.047,0.276,1.816,0.023,7.969,7.945,0.136,male
0.169,0.063,0.188,0.105,0.208,0.103,2.053,7.555,0.92,0.532,0.195,0.169,0.131,0.047,0.277,0.799,0.023,5.672,5.648,0.119,male
0.166,0.061,0.182,0.109,0.202,0.093,2.481,10.286,0.917,0.52,0.187,0.166,0.113,0.047,0.262,0.711,0.023,6.094,6.07,0.142,male
0.171,0.056,0.179,0.133,0.195,0.063,1.943,6.627,0.901,0.416,0.18,0.171,0.125,0.047,0.277,0.577,0.023,3.469,3.445,0.057,male
0.183,0.06,0.189,0.127,0.233,0.105,0.839,3.535,0.937,0.481,0.189,0.183,0.147,0.047,0.274,1.607,0.023,5.25,5.227,0.212,male
0.174,0.059,0.186,0.117,0.211,0.094,1.968,7.762,0.92,0.498,0.2,0.174,0.128,0.049,0.279,1.262,0.023,7.031,7.008,0.136,male
0.177,0.058,0.191,0.115,0.214,0.098,2.27,8.142,0.896,0.418,0.188,0.177,0.125,0.047,0.279,0.863,0.023,5.555,5.531,0.092,male
